"Місто","Кімнат","Загальна_площа","Ціна"
"Вінниця",1,"34",5e+05
"Вінниця",3,"64",862500
"Вінниця",4,"80",875000
"Вінниця",2,"42",750000
"Вінниця",2,"45",749975
"Вінниця",1,"38",612500
"Вінниця",1,"45",403375
"Вінниця",2,"68",6e+05
"Вінниця",3,"70",525000
"Вінниця",2,"77",1625000
"Вінниця",1,"37",625000
"Вінниця",1,"33",450000
"Вінниця",2,"75",1850000
"Вінниця",4,"153",2975000
"Вінниця",1,"48,6",850000
"Вінниця",2,"43",625000
"Вінниця",2,"48",675000
"Вінниця",2,"45",775000
"Вінниця",2,"45",622500
"Вінниця",6,"190",3250000
"Вінниця",1,"40",14000
"Вінниця",1,"33",387500
"Вінниця",2,"50",1137500
"Вінниця",1,"30",525000
"Вінниця",2,"42",525000
"Вінниця",3,"120",1500000
"Вінниця",3,"140",1625000
"Вінниця",4,"164",3125000
"Вінниця",5,"164",3125000
"Вінниця",2,"62",675000
"Вінниця",3,"91",1500000
"Вінниця",1,"32,5",587500
"Вінниця",2,"77",1625000
"Вінниця",2,"42",625000
"Вінниця",2,"54",750000
"Вінниця",1,"30",512500
"Вінниця",2,"45",612500
"Вінниця",1,"35",5e+05
"Вінниця",2,"45",550000
"Дніпропетровськ",3,"66",850000
"Дніпропетровськ",2,"47",725000
"Дніпропетровськ",3,"57",712500
"Дніпропетровськ",2,"135,6",5750000
"Дніпропетровськ",3,"150,5",27500
"Дніпропетровськ",3,"65",687500
"Дніпропетровськ",2,"67",1487500
"Дніпропетровськ",3,"94",3250000
"Дніпропетровськ",3,"118,5",3250000
"Дніпропетровськ",1,"32",504000
"Дніпропетровськ",2,"46",724500
"Дніпропетровськ",3,"120",30000
"Дніпропетровськ",2,"58,4",1875000
"Дніпропетровськ",4,"113",975000
"Дніпропетровськ",4,"151",2750000
"Дніпропетровськ",5,"150",2875000
"Дніпропетровськ",4,"122",2475000
"Дніпропетровськ",3,"102",2075000
"Запоріжжя",3,"67",1250000
"Запоріжжя",3,"52",487500
"Запоріжжя",3,"103",2750000
"Запоріжжя",1,"30",487500
"Запоріжжя",3,"67",1100000
"Запоріжжя",3,"69",1050000
"Запоріжжя",5,"192",2225000
"Запоріжжя",1,"42,8",425000
"Запоріжжя",3,"103",1675000
"Запоріжжя",2,"49,85",540000
"Запоріжжя",3,"68",7e+05
"Запоріжжя",2,"50",6e+05
"Запоріжжя",3,"52",999975
"Івано-Франківськ",2,"68,5",565000
"Івано-Франківськ",2,"58",1e+06
"Івано-Франківськ",4,"142",1375000
"Івано-Франківськ",3,"68",1050000
"Івано-Франківськ",3,"115",2075000
"Івано-Франківськ",1,"38",5e+05
"Івано-Франківськ",1,"40",462500
"Івано-Франківськ",3,"117",2050000
"Івано-Франківськ",1,"40",650000
"Івано-Франківськ",2,"60",1550000
"Івано-Франківськ",4,"181",2125000
"Івано-Франківськ",3,"115",2125000
"Івано-Франківськ",2,"45",425000
"Івано-Франківськ",4,"62",5e+05
"Івано-Франківськ",2,"52",750000
"Івано-Франківськ",3,"119",2125000
"Івано-Франківськ",1,"42",725000
"Івано-Франківськ",3,"80",2e+06
"Івано-Франківськ",3,"120",2425000
"Івано-Франківськ",1,"48",730000
"Івано-Франківськ",1,"49",8e+05
"Івано-Франківськ",2,"69",1137500
"Івано-Франківськ",2,"54",625000
"Івано-Франківськ",2,"54",5e+05
"Івано-Франківськ",3,"102",10500
"Івано-Франківськ",3,"93",1750000
"Івано-Франківськ",1,"40",675000
"Івано-Франківськ",2,"77",7e+05
"Івано-Франківськ",1,"47",8e+05
"Івано-Франківськ",1,"42",7e+05
"Івано-Франківськ",1,"44",412500
"Івано-Франківськ",3,"77,1",754600
"Івано-Франківськ",3,"57",7e+05
"Івано-Франківськ",1,"40,7",386650
"Івано-Франківськ",3,"58",675000
"Івано-Франківськ",1,"37",375000
"Івано-Франківськ",2,"70",1900000
"Івано-Франківськ",1,"49,78",871150
"Івано-Франківськ",2,"60",1200000
"Івано-Франківськ",2,"84",975000
"Івано-Франківськ",1,"42",737500
"Івано-Франківськ",3,"86",1875000
"Івано-Франківськ",1,"37",7e+05
"Івано-Франківськ",1,"40,2",525000
"Івано-Франківськ",2,"65",8e+05
"Івано-Франківськ",1,"30",325000
"Івано-Франківськ",2,"77",1075000
"Києво-Святошинський",2,"72",1749975
"Києво-Святошинський",2,"52,37",13900
"Києво-Святошинський",2,"51",11200
"Києво-Святошинський",2,"62",699470
"Києво-Святошинський",2,"53",1125000
"Києво-Святошинський",3,"82",1250000
"Києво-Святошинський",2,"63",1550000
"Києво-Святошинський",2,"50",10902
"Києво-Святошинський",2,"73",1375000
"Києво-Святошинський",1,"39",672500
"Києво-Святошинський",1,"40",672500
"Києво-Святошинський",1,"40",550000
"Києво-Святошинський",1,"40",550000
"Києво-Святошинський",1,"41,2",637500
"Києво-Святошинський",1,"49,9",8e+05
"Києво-Святошинський",2,"49",875000
"Києво-Святошинський",1,"46",1050000
"Києво-Святошинський",1,"50",825000
"Києво-Святошинський",2,"72",1750000
"Київ",5,"183",1900000
"Київ",3,"101",4e+06
"Київ",2,"84,8",1962500
"Київ",2,"40",1e+06
"Київ",2,"71",2099750
"Київ",3,"72,31",12900
"Київ",2,"50,22",12900
"Київ",2,"50",2042000
"Київ",1,"36",875000
"Київ",3,"71",1475000
"Київ",2,"64,52",18500
"Київ",1,"32,96",576800
"Київ",1,"46",515280
"Київ",2,"51",619200
"Київ",5,"180",37500
"Київ",1,"44",1300000
"Київ",1,"46,7",1875000
"Київ",2,"60",20000
"Київ",1,"39,19",912500
"Київ",2,"98",27500
"Київ",1,"41",377384
"Київ",1,"46,63",391692
"Київ",3,"91",27500
"Київ",3,"94,2",14500
"Київ",2,"60",25000
"Київ",1,"36,5",897500
"Київ",3,"104",5275000
"Київ",3,"80",970000
"Київ",1,"36,4",897500
"Київ",1,"42",1412500
"Київ",2,"51",1400000
"Київ",2,"73,3",2675000
"Київ",1,"45",1499975
"Київ",1,"39",1125000
"Київ",3,"112",37500
"Київ",3,"70",1374975
"Київ",1,"48",1162500
"Київ",3,"53",1475000
"Київ",3,"104",7450000
"Київ",2,"101",8250000
"Київ",2,"94",7250000
"Київ",1,"26",310000
"Київ",2,"43",542500
"Київ",1,"50",950000
"Київ",2,"62",712166
"Київ",2,"53",606412
"Київ",2,"49",564365
"Київ",1,"40",464601
"Київ",1,"36",414720
"Київ",1,"30",339149
"Київ",1,"41",360000
"Київ",3,"80",2500000
"Київ",1,"23",622500
"Київ",1,"23",622500
"Київ",1,"31",825000
"Київ",3,"206",5675000
"Київ",1,"48",1200000
"Київ",3,"136",7e+06
"Київ",1,"43",1450000
"Київ",3,"102",34500
"Київ",2,"51",1475000
"Київ",1,"51",1475000
"Київ",2,"95",25000
"Київ",3,"84",2300000
"Київ",1,"33",393915
"Київ",1,"58",2e+06
"Київ",1,"35",637500
"Київ",1,"50",1150000
"Київ",1,"33",2200000
"Київ",1,"41",379960
"Київ",1,"42",945000
"Київ",3,"78",2300000
"Київ",2,"90",45000
"Київ",3,"61,3",1250000
"Київ",1,"36",1375000
"Київ",3,"115",75000
"Київ",2,"48",1e+06
"Київ",2,"40",1350000
"Київ",1,"50",837500
"Київ",3,"70",1550000
"Київ",3,"70",1375000
"Київ",3,"95",40000
"Київ",2,"65",2125000
"Київ",2,"55",932500
"Київ",2,"48",925000
"Київ",2,"100",2500000
"Київ",2,"44",825000
"Київ",5,"160",12250000
"Київ",3,"70",1575000
"Київ",2,"159",7475000
"Київ",3,"120",4500000
"Київ",3,"80",1200000
"Київ",4,"146",7500000
"Київ",1,"39",750000
"Київ",2,"76",1925000
"Київ",4,"110",3875000
"Київ",2,"49",950000
"Київ",3,"113",19500
"Київ",3,"100",24000
"Київ",2,"45",850000
"Київ",3,"68",1312500
"Київ",1,"25",687500
"Київ",1,"35",987500
"Київ",1,"39",925000
"Київ",1,"33",737500
"Київ",3,"77",1550000
"Київ",2,"54",1162500
"Київ",3,"64",2175000
"Київ",3,"56",1075000
"Київ",1,"37",1175000
"Київ",2,"47",925000
"Київ",3,"87",2750000
"Київ",2,"98",5875000
"Київ",2,"60",11700
"Київ",4,"120",30000
"Київ",3,"171",5e+06
"Київ",2,"82",1825000
"Київ",1,"44",1500000
"Київ",2,"58",1250000
"Київ",5,"154",6250000
"Київ",2,"63",1850000
"Київ",1,"40",12000
"Київ",1,"54",1875000
"Київ",2,"61",1550000
"Київ",3,"84",2175000
"Київ",1,"41",1025000
"Київ",1,"50",1500000
"Київ",1,"38",925000
"Київ",3,"110",12700
"Київ",1,"32",1287500
"Київ",3,"56",1272500
"Київ",2,"46",775000
"Київ",2,"46",1037500
"Київ",2,"60",1550000
"Київ",2,"75",12000
"Київ",3,"64",1437500
"Київ",3,"60",1612500
"Київ",3,"84",11000
"Київ",2,"60",15000
"Київ",2,"74",14100
"Київ",2,"45",14000
"Київ",2,"45",1125000
"Київ",3,"105",16000
"Київ",2,"65",13500
"Київ",2,"44",1125000
"Київ",2,"60",2125000
"Київ",3,"60",1375000
"Київ",2,"80",15000
"Київ",2,"74",2850000
"Київ",3,"84",2850000
"Київ",2,"45",875000
"Київ",1,"39",937500
"Київ",4,"106",2625000
"Київ",1,"43",1075000
"Київ",1,"35",875000
"Київ",3,"132",37500
"Київ",3,"110",36000
"Київ",1,"31",1e+06
"Київ",2,"50",825000
"Київ",2,"65",25000
"Київ",1,"33",8e+05
"Київ",1,"33",650000
"Київ",1,"34",775000
"Київ",2,"52",1450000
"Київ",2,"52",975000
"Київ",2,"46",825000
"Київ",1,"31",1e+06
"Київ",1,"22",662500
"Київ",1,"43",687500
"Київ",2,"52",1500000
"Київ",2,"56",1375000
"Київ",2,"75",1025000
"Київ",2,"70",1550000
"Київ",1,"32",875000
"Київ",3,"84",1900000
"Київ",2,"72",1375000
"Київ",3,"82",1275000
"Київ",2,"58",1875000
"Київ",3,"97",1912500
"Київ",2,"56",1350000
"Київ",3,"56",1575000
"Київ",3,"75",3e+06
"Київ",2,"58",2625000
"Київ",3,"77,4",1250000
"Київ",1,"55",14000
"Київ",1,"35",7e+05
"Львів",1,"45,5",978250
"Львів",3,"66,1",1512500
"Львів",4,"141,1",4125000
"Львів",2,"46",1200000
"Львів",1,"49,2",1750000
"Львів",2,"67",1300000
"Львів",6,"190",2275000
"Львів",3,"90",16000
"Львів",1,"40",9e+05
"Львів",1,"31",537500
"Львів",2,"68,3",17500
"Львів",1,"47,8",898750
"Львів",2,"51",975000
"Львів",2,"60,5",1e+06
"Львів",1,"38,5",650000
"Львів",1,"43",922500
"Миколаїв",3,"61,7",1e+06
"Миколаїв",2,"52,8",8e+05
"Миколаїв",3,"69,3",297500
"Миколаїв",3,"65",9e+05
"Миколаїв",2,"48",612500
"Миколаїв",2,"70",950000
"Миколаїв",2,"62",825000
"Миколаїв",1,"42",650000
"Миколаїв",2,"46",487500
"Миколаїв",2,"53",1125000
"Миколаїв",3,"64",720000
"Миколаїв",1,"33",562500
"Миколаїв",3,"142",3387500
"Миколаїв",2,"52",1125000
"Миколаїв",4,"187",5150000
"Одеса",4,"120",4500000
"Одеса",3,"68,2",1500000
"Одеса",3,"128",5750000
"Одеса",2,"85",3200000
"Одеса",1,"36",615400
"Одеса",1,"39",584875
"Одеса",1,"34",425625
"Одеса",1,"52",608750
"Одеса",1,"39",733125
"Одеса",2,"58",1060375
"Одеса",1,"42",483375
"Одеса",1,"40",624000
"Одеса",2,"99",2475000
"Одеса",2,"45",7e+05
"Одеса",3,"130,6",2398750
"Одеса",4,"106,6",1625000
"Одеса",1,"37",648250
"Одеса",2,"83",2050000
"Одеса",3,"143",2875000
"Одеса",3,"125,5",47500
"Одеса",2,"98,3",50000
"Одеса",6,"222,6",52500
"Одеса",3,"139,1",43750
"Одеса",3,"123,7",41250
"Одеса",3,"124",52500
"Одеса",4,"151,2",42500
"Одеса",2,"73,5",41250
"Одеса",2,"89,6",41250
"Одеса",3,"123,7",41250
"Одеса",3,"78",1612500
"Одеса",2,"78",2175000
"Одеса",1,"36",1175000
"Одеса",2,"52",704125
"Одеса",2,"62",1295000
"Одеса",1,"41",625000
"Одеса",3,"96",1460750
"Одеса",2,"62",1295000
"Одеса",2,"65",1250000
"Одеса",2,"65",1212500
"Одеса",2,"64",905750
"Одеса",2,"59",1074375
"Одеса",2,"74",1235875
"Одеса",2,"102",25000
"Рівне",1,"35",472500
"Рівне",3,"63",1072500
"Рівне",3,"108",1250000
"Рівне",1,"45,37",16250
"Рівне",1,"39",875000
"Рівне",2,"47",646250
"Рівне",2,"46",725000
"Рівне",3,"63",9e+05
"Рівне",1,"61",1200000
"Рівне",1,"28,4",512500
"Рівне",2,"65",1487500
"Рівне",2,"80",1625000
"Рівне",3,"108",1250000
"Рівне",1,"30",362500
"Рівне",3,"121",1361250
"Рівне",2,"75",1625000
"Рівне",2,"63",687500
"Рівне",2,"64",850000
"Рівне",1,"34,8",512500
"Рівне",1,"64",1145000
"Рівне",1,"33",525000
"Рівне",2,"52",7e+05
"Рівне",3,"70",1075000
"Тернопіль",1,"40",862500
"Тернопіль",3,"90",1375000
"Тернопіль",3,"78",1262500
"Тернопіль",2,"160",1625000
"Тернопіль",2,"73,51",10300
"Тернопіль",2,"68,14",10200
"Тернопіль",1,"38",705000
"Тернопіль",2,"56",1175000
"Тернопіль",2,"45",718750
"Тернопіль",2,"63",1050000
"Тернопіль",2,"62",10750
"Тернопіль",1,"40",675000
"Тернопіль",3,"108",1500000
"Тернопіль",1,"47,5",737500
"Тернопіль",3,"92",1275000
"Тернопіль",1,"47,5",17500
"Тернопіль",3,"92",1625000
"Тернопіль",3,"78",1075000
"Тернопіль",1,"45",675000
"Тернопіль",3,"78",1175000
"Тернопіль",1,"40",6e+05
"Тернопіль",2,"63",937500
"Тернопіль",3,"86",725000
"Тернопіль",3,"160",1625000
"Тернопіль",2,"47",550000
"Тернопіль",2,"92",1325000
"Тернопіль",2,"64",775000
"Тернопіль",2,"65,3",850000
"Тернопіль",4,"84",1875000
"Тернопіль",1,"37,6",675000
"Тернопіль",2,"76,6",1e+06
"Тернопіль",3,"95",1250000
"Тернопіль",2,"70",1650000
"Тернопіль",1,"46,14",750000
"Тернопіль",2,"64,4",1037500
"Тернопіль",1,"34",575000
"Тернопіль",1,"53",550000
"Тернопіль",3,"82",1275000
"Тернопіль",3,"95",1250000
"Тернопіль",2,"50",905000
"Тернопіль",2,"56",1050000
"Тернопіль",2,"52",1050000
"Тернопіль",2,"64",1140000
"Тернопіль",3,"86",1875000
"Тернопіль",3,"95",1625000
"Тернопіль",2,"62",9e+05
"Тернопіль",3,"95",2875000
"Тернопіль",3,"65",1125000
"Тернопіль",2,"43",6e+05
"Тернопіль",3,"73",9e+05
"Тернопіль",2,"62",850000
"Тернопіль",3,"93",2325000
"Тернопіль",2,"52",687500
"Тернопіль",2,"49",591250
"Тернопіль",1,"24",325000
"Тернопіль",2,"47,7",675000
"Тернопіль",2,"48",837500
"Тернопіль",2,"42",550000
"Тернопіль",3,"93",2325000
"Тернопіль",3,"100",1375000
"Тернопіль",1,"39",750000
"Тернопіль",2,"47",724975
"Тернопіль",1,"27",437500
"Тернопіль",2,"46",587500
"Тернопіль",3,"95",1250000
"Тернопіль",2,"60",862500
"Тернопіль",2,"45",597500
"Тернопіль",2,"59",650000
"Тернопіль",2,"57,5",648750
"Тернопіль",1,"46",496800
"Тернопіль",2,"50",775000
"Тернопіль",1,"50",475000
"Тернопіль",1,"33",397500
"Тернопіль",2,"54",563000
"Тернопіль",2,"64",670000
"Тернопіль",2,"46",8e+05
"Тернопіль",3,"93",2325000
"Тернопіль",2,"72",1025000
"Тернопіль",1,"43",525000
"Тернопіль",1,"43",550000
"Тернопіль",3,"80",1325000
"Тернопіль",2,"47",662500
"Тернопіль",1,"43",6e+05
"Тернопіль",1,"57,5",650000
"Тернопіль",3,"90",1275000
"Тернопіль",2,"57,5",647500
"Тернопіль",2,"65",670000
"Тернопіль",2,"54",560000
"Тернопіль",1,"33",393750
"Тернопіль",1,"50",475000
"Тернопіль",1,"30",425000
"Тернопіль",2,"45",6e+05
"Тернопіль",1,"45",482500
"Харків",1,"19",172000
"Харків",2,"37",659000
"Харків",2,"75",1412500
"Харків",3,"64,3",925000
"Харків",3,"80",1100000
"Харків",1,"15",249250
"Харків",2,"45",825000
"Харків",3,"93",2175000
"Харків",2,"90",2375000
"Харків",2,"46,4",750000
"Харків",1,"18",234500
"Харків",1,"38",7e+05
"Харків",2,"69",887500
"Харків",2,"52",975000
"Хмельницький",2,"71,35",620745
"Хмельницький",2,"58,4",450000
"Хмельницький",2,"70",550000
"Хмельницький",2,"75",750000
"Хмельницький",1,"40",425000
"Хмельницький",3,"68",575000
"Хмельницький",2,"68",950000
"Хмельницький",3,"86",1350000
"Хмельницький",2,"53,53",329200
"Хмельницький",2,"71,74",540000
"Хмельницький",2,"45",375000
"Хмельницький",2,"64,14",450000
"Хмельницький",2,"44",375000
"Хмельницький",3,"71,5",725000
"Хмельницький",1,"52",647500
"Хмельницький",4,"133,4",997500
"Хмельницький",3,"77,56",477000
"Хмельницький",3,"80",1125000
"Хмельницький",3,"80",1125000
"Хмельницький",2,"53,87",4e+05
"Хмельницький",2,"62,99",471795
"Хмельницький",1,"30",375000
"Хмельницький",1,"50",537500
"Хмельницький",2,"58,63",480000
"Хмельницький",1,"39,8",375000
"Хмельницький",2,"49",575000
"Хмельницький",1,"30",312500
"Хмельницький",2,"67",572500
"Хмельницький",3,"92",787500
"Хмельницький",1,"38",450000
"Хмельницький",1,"49",375000
"Хмельницький",1,"47",350000
"Хмельницький",2,"76",1125000
"Хмельницький",3,"67",525000
"Хмельницький",1,"42",275000
"Хмельницький",2,"60",512500
"Хмельницький",3,"65",4e+05
"Хмельницький",3,"80",1125000
"Хмельницький",1,"51",3e+05
"Хмельницький",2,"63",472500
"Хмельницький",2,"80",3e+05
"Хмельницький",2,"50,1",475000
"Хмельницький",3,"73",6e+05
"Хмельницький",1,"43,5",5e+05
"Хмельницький",1,"54,28",333800
"Хмельницький",3,"89",625000
"Хмельницький",4,"130",750000
"Хмельницький",2,"71",575000
"Хмельницький",2,"65",550000
"Хмельницький",1,"47",525000
"Хмельницький",3,"93",9e+05
"Хмельницький",2,"50",5e+05
"Хмельницький",3,"78",675000
"Хмельницький",3,"105",887500
"Хмельницький",3,"94",9e+05
"Хмельницький",3,"105",950000
"Хмельницький",2,"70",8e+05
"Хмельницький",3,"89",625000
"Хмельницький",3,"70",637500
"Хмельницький",3,"112,56",10500
"Хмельницький",3,"93",9e+05
"Хмельницький",2,"66",950000
"Хмельницький",2,"80",1125000
"Хмельницький",1,"37",387500
"Хмельницький",1,"50",375000
"Хмельницький",1,"43",337500
"Хмельницький",1,"36",220000
"Хмельницький",1,"42",264600
"Хмельницький",1,"42",575000
"Хмельницький",3,"72",925000
"Хмельницький",1,"41",275000
"Хмельницький",1,"35,58",212500
"Хмельницький",1,"52",330000
"Хмельницький",1,"41",325000
"Хмельницький",1,"47",375000
"Хмельницький",2,"53",387500
"Хмельницький",2,"60",522500
